file,nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT,tag
mbanisha_ior_id3247313-3247313_6-29-56599-16845770037146759593_1.darshan,0,1453.0,0.0,0.0,11.0,2056.0,254844924.0,2.0,83.0,80.0,222.0,4144.0,83894360.0,1.0,76.0,1.0,76.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,83.0,2.0,0.0,0.0,401286166.620431
mbanisha_ior_id3247314-3247314_6-29-56599-10422012292987661668_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,399190906.0196706
mbanisha_ior_id3247315-3247315_6-29-56599-3309309669496971184_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,510831450.8223173
mbanisha_ior_id3247316-3247316_6-29-56599-8637133735269677909_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,482959201.8836099
mbanisha_ior_id3247317-3247317_6-29-56599-17428871316171130607_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,431346776.7643218
mbanisha_ior_id3247323-3247323_6-29-56599-4485618184097869438_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,420784648.1020785
mbanisha_ior_id3247327-3247327_6-29-56599-3633381165491352789_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,362296049.02337587
mbanisha_ior_id3247330-3247330_6-29-56599-1040721103498060377_1.darshan,0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,344895126.7441191
mbanisha_mpirun_id3247309-3247309_6-29-56599-16595160184241007302_1.darshan,0,47.0,0.0,0.0,37.0,1248.0,151027708.0,1.0,41.0,1.0,220.0,18.0,5162.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,613.0,448.0,417.0,10.0,3.0,3.0,2.0,4427350.427350426
