nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT,tag
0,1453.0,0.0,0.0,11.0,2056.0,254844924.0,2.0,83.0,80.0,222.0,4144.0,83894360.0,1.0,76.0,1.0,76.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,83.0,2.0,0.0,0.0,555155989.042256
0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,403573040.0858191
0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,375263842.9779791
0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,410369797.882956
0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,508382882.28236234
0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,431959756.5622136
0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,485496958.9296359
0,1452.0,0.0,0.0,11.0,2056.0,254844924.0,3.0,80.0,80.0,222.0,8280.0,83886080.0,1.0,75.0,1.0,75.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1056848.0,8.0,0.0,0.0,82.0,1.0,0.0,0.0,422660775.5515363
0,47.0,0.0,0.0,37.0,1248.0,151027708.0,1.0,43.0,1.0,220.0,18.0,5138.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,407.0,366.0,363.0,10.0,3.0,3.0,2.0,4318257.956448912
