nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT,tag,test_id
0,568.0,0.0,0.0,69.0,2600.0,214998930.0,273.0,278.0,546.0,268.0,1114160.0,1118860.0,1.0,4.0,139.0,142.0,2.0,0.0,543.0,1.0,0.0,272.0,0.0,1.0,4.0,273.0,0.0,0.0,729088.0,372736.0,282624.0,81920.0,4.0,4.0,4.0,4.0,12509.0,8.0,0.0,0.0,549.0,2.0,0.0,0.0,466475872.15375036,test00019
0,43.0,0.0,0.0,11.0,1288.0,155238399.0,1027.0,1029.0,4.0,229.0,67117144.0,67109064.0,33.0,16.0,545.0,527.0,1.0,0.0,1921.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,1024.0,0.0,524288.0,327680.0,262144.0,2424832.0,48.0,48.0,48.0,32.0,73848.0,8.0,0.0,0.0,2055.0,1.0,0.0,0.0,11335715564.563805,test00019
0,43.0,0.0,0.0,11.0,1288.0,155238399.0,67.0,69.0,4.0,229.0,67117144.0,67109064.0,33.0,32.0,49.0,48.0,1.0,0.0,1.0,1.0,0.0,2.0,64.0,5.0,0.0,0.0,0.0,64.0,4194304.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1056888.0,8.0,0.0,0.0,135.0,1.0,0.0,0.0,12995082583.018688,test00019
0,567.0,0.0,0.0,69.0,2608.0,216047506.0,9.0,10.0,16.0,268.0,6299736.0,6292020.0,1.0,3.0,4.0,6.0,1.0,0.0,4.0,1.0,0.0,2.0,6.0,0.0,4.0,0.0,0.0,6.0,8388608.0,3145728.0,0.0,0.0,2.0,2.0,0.0,0.0,1056989.0,8.0,0.0,0.0,18.0,1.0,0.0,0.0,3021054702.4952016,test00019
0,559.0,0.0,0.0,61.0,2600.0,214998930.0,4099.0,4096.0,8192.0,268.0,16785496.0,16777216.0,17.0,16.0,2113.0,2080.0,0.0,0.0,8161.0,1.0,0.0,4098.0,0.0,0.0,0.0,4096.0,0.0,0.0,385024.0,880640.0,700416.0,524288.0,112.0,80.0,80.0,80.0,16464.0,8.0,0.0,0.0,8194.0,1.0,0.0,0.0,2656959468.0177326,test00735
0,559.0,0.0,0.0,61.0,2600.0,214998930.0,67.0,64.0,128.0,268.0,67117144.0,67108864.0,1.0,32.0,33.0,48.0,0.0,0.0,1.0,1.0,0.0,2.0,64.0,0.0,0.0,0.0,0.0,64.0,6291456.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,2105424.0,8.0,0.0,0.0,130.0,1.0,0.0,0.0,18770243042.931057,test00735
0,559.0,0.0,0.0,61.0,2576.0,213950356.0,1091.0,1088.0,2176.0,268.0,71311448.0,71303168.0,1.0,0.0,609.0,608.0,1.0,0.0,2113.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1088.0,0.0,219873280.0,193986560.0,160628736.0,160104448.0,32.0,32.0,32.0,32.0,73808.0,8.0,0.0,0.0,2178.0,1.0,0.0,0.0,20470018085.25907,test00735
0,567.0,0.0,0.0,69.0,2608.0,216047506.0,16387.0,16388.0,32772.0,268.0,1073750104.0,1073742388.0,1.0,2.0,7681.0,7684.0,0.0,0.0,30725.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,16384.0,0.0,4792584.0,2293760.0,3604480.0,3407872.0,1281.0,1280.0,1024.0,1024.0,139485.0,8.0,0.0,0.0,32774.0,1.0,0.0,0.0,72863043870.66129,test00735
0,559.0,0.0,0.0,61.0,2608.0,216047506.0,4099.0,4096.0,8192.0,268.0,16785496.0,16777216.0,17.0,32.0,2017.0,2160.0,0.0,0.0,8161.0,1.0,0.0,4098.0,0.0,0.0,0.0,4096.0,0.0,0.0,167936.0,761856.0,782336.0,696320.0,144.0,112.0,96.0,96.0,16464.0,8.0,0.0,0.0,8194.0,1.0,0.0,0.0,2699703346.2033467,test00736
0,559.0,0.0,0.0,61.0,2600.0,214998930.0,1027.0,1024.0,2048.0,268.0,67117144.0,67108864.0,17.0,0.0,545.0,496.0,0.0,0.0,1921.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1024.0,0.0,3932160.0,1769472.0,3538944.0,1769472.0,96.0,96.0,64.0,64.0,139344.0,8.0,0.0,0.0,2050.0,1.0,0.0,0.0,12756701007.41304,test00736
