nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT,tag,test_id
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,425999.7844130648,test01984
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3910.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,110.0,102.0,1272.0,6.0,2.0,2.0,1.0,2014358.9743589777,test01983
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3910.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,110.0,102.0,1272.0,6.0,2.0,2.0,1.0,2160616.0616061604,test01982
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3910.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,110.0,102.0,1272.0,6.0,2.0,2.0,1.0,2247139.588100687,test01981
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3910.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,110.0,102.0,1272.0,6.0,2.0,2.0,1.0,1941670.7859614412,test01980
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,1474076.8370011162,test01979
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,1967147.8347436527,test01978
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,2275187.10420265,test01977
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,1961290.3225806449,test01976
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,2289687.13789108,test01975
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,463958.67574548017,test01974
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,2048729.9118714386,test01973
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,2226478.873239439,test01972
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,1943925.2336448596,test01971
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,2150163.2208922757,test01970
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,1184297.2729997004,test01969
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,153732.44641537327,test00016
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3910.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,110.0,102.0,1272.0,6.0,2.0,2.0,1.0,1816836.2627197015,test00015
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3910.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,110.0,102.0,1272.0,6.0,2.0,2.0,1.0,2010235.4145342882,test00014
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3910.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,110.0,102.0,1272.0,6.0,2.0,2.0,1.0,2359159.159159162,test00013
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,146783.53885009652,test00012
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,172772.58022208617,test00011
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,157582.04075122625,test00010
0,42.0,0.0,0.0,38.0,1208.0,152051708.0,1.0,27.0,1.0,220.0,18.0,3934.0,0.0,24.0,0.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,111.0,103.0,1272.0,6.0,2.0,2.0,1.0,168607.87576261788,test00009
